_id,Timestamp,Age,Gender,Country,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
65563fd0d98731f9ac74d796,2014-08-27 11:29:31,37,female,United States,No,Yes,Often,6-25,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No
65563fd0d98731f9ac74d797,2014-08-27 11:29:37,44,male,United States,No,No,Rarely,More than 1000,No,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No
65563fd0d98731f9ac74d798,2014-08-27 11:29:44,32,male,Canada,No,No,Rarely,6-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No
65563fd0d98731f9ac74d799,2014-08-27 11:29:46,31,male,United Kingdom,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes
65563fd0d98731f9ac74d79a,2014-08-27 11:30:22,31,male,United States,No,No,Never,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No
65563fd0d98731f9ac74d79b,2014-08-27 11:31:22,33,male,United States,Yes,No,Sometimes,6-25,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No
65563fd0d98731f9ac74d79c,2014-08-27 11:31:50,35,female,United States,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No
65563fd0d98731f9ac74d79d,2014-08-27 11:32:05,39,male,Canada,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,No,No,No
65563fd0d98731f9ac74d79e,2014-08-27 11:32:39,42,female,United States,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No
65563fd0d98731f9ac74d79f,2014-08-27 11:32:43,23,male,Canada,No,No,Never,26-100,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7a0,2014-08-27 11:32:44,31,male,United States,No,Yes,Sometimes,6-25,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d7a1,2014-08-27 11:32:49,29,male,Bulgaria,No,No,Never,100-500,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No
65563fd0d98731f9ac74d7a2,2014-08-27 11:33:23,42,female,United States,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes
65563fd0d98731f9ac74d7a3,2014-08-27 11:33:26,36,male,United States,Yes,No,Never,500-1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d7a4,2014-08-27 11:33:57,27,male,Canada,No,No,Never,6-25,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No
65563fd0d98731f9ac74d7a5,2014-08-27 11:34:00,29,female,United States,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No
65563fd0d98731f9ac74d7a6,2014-08-27 11:34:20,23,male,United Kingdom,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No
65563fd0d98731f9ac74d7a7,2014-08-27 11:34:37,32,male,United States,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,No
65563fd0d98731f9ac74d7a8,2014-08-27 11:34:53,46,male,United States,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes
65563fd0d98731f9ac74d7a9,2014-08-27 11:35:08,36,male,France,Yes,No,Sometimes,6-25,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
65563fd0d98731f9ac74d7aa,2014-08-27 11:35:12,29,male,United States,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No
65563fd0d98731f9ac74d7ab,2014-08-27 11:35:24,31,male,United States,No,No,Never,1-5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No
65563fd0d98731f9ac74d7ac,2014-08-27 11:35:48,46,male,United States,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No
65563fd0d98731f9ac74d7ad,2014-08-27 11:36:24,41,male,United States,No,Yes,Never,More than 1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,No
65563fd0d98731f9ac74d7ae,2014-08-27 11:36:48,33,male,United States,Yes,Yes,Rarely,26-100,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No
65563fd0d98731f9ac74d7af,2014-08-27 11:37:08,35,male,United States,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Don't know,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No
65563fd0d98731f9ac74d7b0,2014-08-27 11:37:23,33,male,United States,No,No,Sometimes,1-5,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No
65563fd0d98731f9ac74d7b1,2014-08-27 11:37:59,35,female,United States,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7b2,2014-08-27 11:38:12,34,male,United States,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,No
65563fd0d98731f9ac74d7b3,2014-08-27 11:38:18,37,male,United Kingdom,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Don't know,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,No
65563fd0d98731f9ac74d7b4,2014-08-27 11:39:03,32,male,United Kingdom,No,No,Never,6-25,Yes,Yes,No,No,No,No,Don't know,Don't know,Yes,Yes,Some of them,Some of them,No,Maybe,No,No
65563fd0d98731f9ac74d7b5,2014-08-27 11:38:55,31,male,United States,Yes,No,Rarely,1-5,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No,No,Yes
65563fd0d98731f9ac74d7b6,2014-08-27 11:39:31,30,male,United Kingdom,Yes,Yes,Sometimes,500-1000,Yes,Yes,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No,Some of them,Yes,No,Yes,Don't know,No
65563fd0d98731f9ac74d7b7,2014-08-27 11:39:36,42,male,United States,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No
65563fd0d98731f9ac74d7b8,2014-08-27 11:40:51,40,female,United States,No,Yes,Sometimes,1-5,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes,No
65563fd0d98731f9ac74d7b9,2014-08-27 11:41:17,27,male,United States,No,Yes,Rarely,6-25,No,Yes,No,Yes,No,No,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
65563fd0d98731f9ac74d7ba,2014-08-27 11:41:37,29,male,Canada,No,No,Rarely,1-5,No,Yes,No,No,No,No,Don't know,Very easy,Yes,Maybe,Some of them,No,No,No,Don't know,No
65563fd0d98731f9ac74d7bb,2014-08-27 11:41:50,38,male,Portugal,No,No,Sometimes,100-500,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No
65563fd0d98731f9ac74d7bc,2014-08-27 11:42:08,50,male,United States,No,No,Sometimes,100-500,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7bd,2014-08-27 11:42:15,35,male,United States,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
65563fd0d98731f9ac74d7be,2014-08-27 11:42:25,24,male,United Kingdom,No,Yes,Sometimes,6-25,No,Yes,No,No,No,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Yes,No,Yes
65563fd0d98731f9ac74d7bf,2014-08-27 11:42:31,35,male,United States,No,No,Sometimes,More than 1000,Yes,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7c0,2014-08-27 11:43:07,27,male,Canada,Yes,Yes,Sometimes,1-5,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,Some of them,No,No,No,Yes,No
65563fd0d98731f9ac74d7c1,2014-08-27 11:43:10,18,male,Netherlands,No,No,Often,6-25,No,Yes,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe,No,Some of them,No,No,No,No
65563fd0d98731f9ac74d7c2,2014-08-27 11:43:22,30,male,United States,No,Yes,Sometimes,26-100,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7c3,2014-08-27 11:43:36,38,female,United States,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No
65563fd0d98731f9ac74d7c4,2014-08-27 11:43:45,28,male,United Kingdom,No,No,Sometimes,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,Don't know,No
65563fd0d98731f9ac74d7c5,2014-08-27 11:43:48,34,male,United States,No,No,Sometimes,6-25,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No
65563fd0d98731f9ac74d7c6,2014-08-27 11:43:56,26,male,Canada,No,No,Sometimes,1-5,No,Yes,No,Yes,Yes,No,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No
65563fd0d98731f9ac74d7c7,2014-08-27 11:44:43,30,male,United States,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d7c8,2014-08-27 11:44:55,22,male,United States,Yes,Yes,Often,6-25,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7c9,2014-08-27 11:45:32,33,male,United States,No,No,Sometimes,100-500,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
65563fd0d98731f9ac74d7ca,2014-08-27 11:45:33,31,male,United States,No,No,Sometimes,100-500,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No
65563fd0d98731f9ac74d7cb,2014-08-27 11:45:51,32,male,United States,No,No,Never,1-5,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No
65563fd0d98731f9ac74d7cc,2014-08-27 11:46:36,28,male,Switzerland,No,No,Sometimes,100-500,No,Yes,No,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No
65563fd0d98731f9ac74d7cd,2014-08-27 11:46:49,27,male,United States,Yes,Yes,Rarely,26-100,No,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No
65563fd0d98731f9ac74d7ce,2014-08-27 11:46:55,32,male,United States,Yes,No,Sometimes,6-25,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No
65563fd0d98731f9ac74d7cf,2014-08-27 11:47:10,24,male,United States,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No,No
65563fd0d98731f9ac74d7d0,2014-08-27 11:47:33,26,male,United States,No,No,Sometimes,26-100,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No
65563fd0d98731f9ac74d7d1,2014-08-27 11:47:56,33,male,Canada,Yes,Yes,Often,6-25,Yes,Yes,Don't know,No,No,No,No,Somewhat difficult,Yes,No,No,No,No,Maybe,Don't know,No
